"Step","model/_target_: src.models.parallel_energy_gfn_module.PerNodeParallelLinearTrainableCausalGraphGFlowNetModule - val/mse","model/_target_: src.models.parallel_energy_gfn_module.PerNodeParallelLinearTrainableCausalGraphGFlowNetModule - val/mse__MIN","model/_target_: src.models.parallel_energy_gfn_module.PerNodeParallelLinearTrainableCausalGraphGFlowNetModule - val/mse__MAX"
"4","0.05423831418156624","0.053897760808467865","0.054569486528635025"
"10","0.05558241754770279","0.05508901923894882","0.0561518557369709"
"16","0.058019360154867174","0.057677723467350006","0.05856809765100479"
"22","0.060702383518218994","0.06010281667113304","0.06095373257994652"
"28","0.06412467956542969","0.0638841912150383","0.06447072327136993"
"34","0.06746204197406769","0.06729216873645782","0.06775758415460587"
"40","0.07059307396411896","0.06998594105243683","0.07109861075878143"
"46","0.07317623943090439","0.0725095346570015","0.07400424778461456"
"52","0.07497339993715287","0.07408632338047028","0.07578585296869278"
"58","0.07593801319599151","0.07532093673944473","0.0766444280743599"
"64","0.0762785404920578","0.07542019337415695","0.07693711668252945"
"70","0.07631038427352906","0.07522562891244888","0.07708512246608734"
"76","0.07630453258752823","0.07505632191896439","0.07735314220190048"
"82","0.07597907483577729","0.07407285273075104","0.07689213752746582"
"88","0.0754562109708786","0.07363948971033096","0.07631293684244156"
"94","0.07472426146268844","0.07235893607139587","0.07644404470920563"
"100","0.07393375337123871","0.07163272798061371","0.07580260187387466"
"106","0.07279494553804397","0.07078231871128082","0.07542648911476135"
"112","0.07151628881692887","0.06969338655471802","0.07369843870401382"
"118","0.07025818526744843","0.0684814527630806","0.07283315062522888"
"124","0.06917466968297958","0.06750176101922989","0.07150926440954208"
"130","0.06804711967706681","0.06618408113718033","0.07038399577140808"
"136","0.06625001132488251","0.06472102552652359","0.06873909384012222"
"142","0.06508101373910904","0.0633561834692955","0.0670657828450203"
"148","0.06338863521814346","0.06128644943237305","0.0649203211069107"
"154","0.06174957975745201","0.05963316932320595","0.0630631297826767"
"160","0.05995381847023964","0.05765693262219429","0.06173582375049591"
"166","0.05827805325388909","0.056285034865140915","0.05990847200155258"
"172","0.056272432953119275","0.05340750515460968","0.058222696185112"
"178","0.05396983027458191","0.05120297893881798","0.05606180801987648"
"184","0.05190589278936386","0.049925290048122406","0.05374724045395851"
"190","0.050276118516922","0.04861490800976753","0.052735716104507446"
"196","0.04882892519235611","0.04680231586098671","0.050745442509651184"
"202","0.047122635692358014","0.04462074115872383","0.04880818352103233"
"208","0.045311269164085385","0.04259178042411804","0.04692976176738739"
"214","0.04361387863755226","0.04128663241863251","0.04593916982412338"
"220","0.041801301389932634","0.0392930842936039","0.044411852955818176"
"226","0.04015987887978554","0.03799906745553017","0.042604707181453705"
"232","0.038880251348018646","0.03723651543259621","0.04066251218318939"
"238","0.03749388679862022","0.03592110425233841","0.039268698543310165"
"244","0.03603724017739296","0.03426536172628403","0.038039397448301315"
"250","0.034992019087076186","0.032936614006757736","0.037171121686697006"
"256","0.03384408727288246","0.03149458393454552","0.03657308220863342"
"262","0.03301712721586227","0.030923180282115936","0.035544730722904205"
"268","0.03227125816047192","0.030638234689831734","0.03402126207947731"
"274","0.031126925349235536","0.029681367799639702","0.032987330108881"
"280","0.030269849672913553","0.028107263147830963","0.03254489228129387"
"286","0.029536089673638345","0.027139367535710335","0.03180951997637749"
"292","0.0283535610884428","0.026050081476569176","0.030751146376132965"
"298","0.027428646758198737","0.025393588468432426","0.029743222519755363"
"304","0.026139792799949647","0.02457158826291561","0.027639156207442284"
"310","0.025443294271826743","0.02372659742832184","0.02633059024810791"
"316","0.024737649783492088","0.022997833788394928","0.025861192494630814"
